PMID,Title,Abstract,Journal,Year,Authors,
31164625,Calcium-Activated Chloride Channel A4 (CLCA4) Plays Inhibitory Roles in Invasion and Migration Through Suppressing Epithelial-Mesenchymal Transition via PI3K/AKT Signaling in Colorectal Cancer.,"BACKGROUND Calcium-activated chloride channel A4 (CLCA4) is known as a tumor suppressor which contributes to the progression of a number of types of malignant tumors. However, little is known about the functional roles of CLCA4 in colorectal cancer (CRC). MATERIAL AND METHODS In this study, the expression patterns and dysregulation of mRNAs in CRC tissues were profiled by analyzing GSE21510 datasets from Gene Expression Omnibus database which contains 104 primary hepatocellular carcinoma tissues and 24 normal liver tissues, and by performing Kaplan-Meier analysis of TCGA data. Additionally, immunohistochemistry and quantitative real-time polymerase chain reaction (qRT-PCR) were performed using clinical tissues collected at our institute. In order to explore the functional role of CLCA4, gain-of-function cell models were constructed in SW620 and LoVo cells. Wound healing assay and Transwell assay were carried out to access the cell migration and invasion ability. RESULTS It was found that CLCA4 was an independent predictor for overall survival and lymph node metastasis. Additionally, immunohistochemistry and qRT-PCR results of the clinical tissues collected as part of our study further confirmed this correlation. In vitro experiments demonstrated that over-expression of CLCA4 could inhibit cell migration and invasion by suppressing epithelial-mesenchymal transition (EMT) via PI3K/ATK signaling and change the expression patterns of EMT markers in CLCA4-gain-of-function cell models. CONCLUSIONS CLCA4 inhibits migration and invasion by suppressing EMT via PI3K/ATK signaling and predicts favorable prognosis of CRC which may help to distinguish potential risk of lymph node metastasis in CRC.",Med. Sci. Monit.,2019,"['Chen H', 'Liu Y', 'Jiang CJ', 'Chen YM', 'Li H', 'Liu QA']",
31162747,Helicobacter pylori CagA promotes the malignant transformation of gastric mucosal epithelial cells through the dysregulation of the miR-155/KLF4 signaling pathway.,"The Helicobacter pylori (H. pylori) cytotoxin-associated gene A (CagA) and Krüppel-like transcription factor (KLF4) were both closely associated with the development and progression of gastric cancer (GC). However, the nature of the interactions between CagA and KLF4 in GC development has not been elucidated. Therefore, we focused on the CagA-mediated promotion of the malignant transformation of gastric epithelial cells. Herein, we first examined the expression of KLF4 in both human cancer and paracarcinoma tissues with or without H. pylori infection and found that KLF4 expression was significantly decreased in H. pylori-positive GC cells compared with the H. pylori-negative GC cells. Further functional studies revealed that the increased expression of CagA could suppress KLF4 expression and promote the malignant transformation of normal epithelial cells. Subsequently, we found that CagA could upregulate miR-155 and further restrict the expression of downstream KLF4. More importantly, the overexpression of miR-155 in GES-1 promoted epithelial-mesenchymal transition and eventually facilitated tumor growth in vivo. Overall, the identification of the CagA/miR-155/KLF4 signaling pathway provided a new insight into the development and treatment of GC.",Mol. Carcinog.,2019,"['Ou Y', 'Ren H', 'Zhao R', 'Song L', 'Liu Z', 'Xu W', 'Liu Y', 'Wang S']",
31160270,The circRNA circPTPRA suppresses epithelial-mesenchymal transitioning and metastasis of NSCLC cells by sponging miR-96-5p.,"BACKGROUND: Non-small cell lung carcinomas (NSCLC) are prevalent, lethal cancers with especially grim prospects due to late-stage detection and chemoresistance. Circular RNAs (circRNAs) are non-coding RNAs that participate in tumor development. However, the role of circRNAs in NSCLC is not well known. This study investigated the role of one circRNA - circPTPRA- in NSCLC and characterized its molecular mechanism of action.
METHODS: circPTPRA expression was analyzed in human NSCLC tumors and matched healthy lung tissue. We performed functional characterization in NSCLC cell lines and a mouse xenograft model of NSCLC to elucidate the molecular role of circPTPRA in epithelial-mesenchymal transitioning (EMT). We also assessed the regulatory action of circPTPRA on the microRNA miR-96-5p and its target the tumor suppressor Ras association domain-containing protein 8 (RASSF8).
FINDINGS: circPTPRA was significantly downregulated in NSCLC tumors relative to matched healthy lung tissue. Lower circPTPRA levels correlated with metastasis and inferior survival outcomes in NSCLC patients. circPTPRA suppressed EMT in NSCLC cell lines and reduced metastasis in the murine xenograft model by sequestering miR-96-5p and upregulating RASSF8. Correlation analyses in patient-derived NSCLC tumor specimens supported the involvement of the circPTPRA/miR-96-5p/RASSF8/E-cadherin axis dysregulation in NSCLC tumor progression.
INTERPRETATION: circPTPRA suppresses EMT and metastasis of NSCLC cell lines by sponging miR-96-5p, which upregulates the downstream tumor suppressor RASSF8. The circPTPRA/miR-96-5p/RASSF8/E-cadherin axis can be leveraged as a potential treatment avenue in NSCLC. FUND: The Key research and development projects of Anhui Province (201904a0720079), the Natural Science Foundation of Anhui Province (1908085MH240), the Graduate Innovation Program of Bengbu Medical College (Byycx1843), the National Natural Science Foundation of Tibet (XZ2017ZR-ZY033) and the Science and Technology Project of Shannan (SNKJYFJF2017-3) and Academic Subsidy Project for Top Talents in Universities of Anhui in 2019 (gxbjZD16).",EBioMedicine,2019,"['Wei S', 'Zheng Y', 'Jiang Y', 'Li X', 'Geng J', 'Shen Y', 'Li Q', 'Wang X', 'Zhao C', 'Chen Y', 'Qian Z', 'Zhou J', 'Li W']",
31159744,Comprehensive functional profiling of long non-coding RNAs through a novel pan-cancer integration approach and modular analysis of their protein-coding gene association networks.,"BACKGROUND: Long non-coding RNAs (lncRNAs) are emerging as crucial regulators of cellular processes in diseases such as cancer, although the functions of most remain poorly understood. To address this, here we apply a novel strategy to integrate gene expression profiles across 32 cancer types, and cluster human lncRNAs based on their pan-cancer protein-coding gene associations. By doing so, we derive 16 lncRNA modules whose unique properties allow simultaneous inference of function, disease specificity and regulation for over 800 lncRNAs.
RESULTS: Remarkably, modules could be grouped into just four functional themes: transcription regulation, immunological, extracellular, and neurological, with module generation frequently driven by lncRNA tissue specificity. Notably, three modules associated with the extracellular matrix represented potential networks of lncRNAs regulating key events in tumour progression. These included a tumour-specific signature of 33 lncRNAs that may play a role in inducing epithelial-mesenchymal transition through modulation of TGFβ signalling, and two stromal-specific modules comprising 26 lncRNAs linked to a tumour suppressive microenvironment and 12 lncRNAs related to cancer-associated fibroblasts. One member of the 12-lncRNA signature was experimentally supported by siRNA knockdown, which resulted in attenuated differentiation of quiescent fibroblasts to a cancer-associated phenotype.
CONCLUSIONS: Overall, the study provides a unique pan-cancer perspective on the lncRNA functional landscape, acting as a global source of novel hypotheses on lncRNA contribution to tumour progression.",BMC Genomics,2019,"['Walters K', 'Sarsenov R', 'Too WS', 'Hare RK', 'Paterson IC', 'Lambert DW', 'Brown S', 'Bradford JR']",
31158447,miR-205-5p regulates epithelial-mesenchymal transition by targeting PTEN via PI3K/AKT signaling pathway in cisplatin-resistant nasopharyngeal carcinoma cells.,"Epithelial-mesenchymal transition (EMT) symbolizes the predominant program of advanced-stage cancer, it is critical in cancer progression, metastasis, and chemotherapy resistance. In this study, the metastatic properties of nasopharyngeal carcinoma (NPC) cells were evaluated by morphological examination, wound healing assay, migration and invasion assay. Western blotting and qRT-PCR were used to ascertain the expression of markers which were associated with EMT. The effects of miR-205-5p on invasion, migration, EMT and proliferation of NPC cells were evaluated and the molecular mechanisms of their interaction were explored. In this study, we manifested firstly that the expression of miR-205-5p in cisplatin-resistant NPC cell line HNE1/DDP was obviously up-regulated than that in its parental cell line HNE1. Then we analyzed the specific role of miR-205-5p through functional assays by transfecting specific mimics and inhibitors. The results indicated that low expression of miR-205-5p restrained EMT progression of HNE1/DDP cells. Further studies on the mechanism of miR-205-5p manifested that PTEN was a downstream candidate gene of miR-205-5p, down-regulated PTEN expression could counteract the effect of miR-205-5p inhibitors, and the regulation of EMT by miR-205-5p on HNE1/DDP cells depended on the PI3K/AKT signaling pathway. Overall, our results indicated that miR-205-5p was targeting PTEN to regulate EMT through the PI3K/AKT pathway. This study will supply a new treatment target for advanced NPC.",Gene,2019,"['Zhang P', 'Lu X', 'Shi Z', 'Li X', 'Zhang Y', 'Zhao S', 'Liu H']",
31158427,Linkage between EMT and stemness state through molecular association between TWIST1 and NY-ESO1 in esophageal squamous cell carcinoma.,"Aberrant expression of cancer testis antigens (CTAs) is reported in tumors, especially those with stemness properties. A number of CTAs can induce epithelial mesenchymal transition (EMT) process and promote cancer stem cells (CSCs) characteristics. We aimed in this study to analyze the correlation between NY-ESO1 and TWIST1 in esophageal squamous cell carcinoma (ESCC), as well as their impact on EMT process. Gene expression profiling of NY-ESO1 and TWIST1 was performed in 43 esophageal tumors compared to their margin normal tissues of using qRT-PCR, and their correlation with clinicopathological variables of the patients was evaluated. In silico analysis of the NY-ESO1, epithelial and mesenchymal cell markers and also their promoter sequences was executed. ESCC cell lines KYSE-30 and YM-1 were transduced to ectopically express TWIST1 using a retroviral system, followed by qRT-PCR mRNA expression analysis to reveal the probable correlation among TWIST1, NY-ESO1 and EMT markers gene expression. Scratch assay was performed to estimate migration of TWIST1-induced cells. Overexpression of TWIST1 and NY-ESO1 mRNA was observed in 42% and 39.5% (P ˂ 0.05) of tumors, respectively. Expression of the genes was significantly correlated with each other (p = 0.005). TWIST1 and NY-ESO1 overexpression was significantly associated with stage of progression and size of tumors, respectively. A direct association between TWIST1 and NY-ESO1 mRNA expression was confirmed by induced ectopic expression of TWIST1 in ESCC cell lines KYSE-30 and YM-1. TWIST1-induced cells led to increase migration in ESCC cell line. Furthermore, significant up-regulation of EMT markers was observed following ectopic expression of TWIST1 in these cells. Based on our findings, it may be proposed that a vital association is exist between the EMT and the acquisition of cancer stemness state in tumor cells through the TWIST1/NY-ESO1 axis and it can be a critical hallmark in ESCC tumorigenesis.",Biochimie,2019,"['Ardalan Khales S', 'Abbaszadegan MR', 'Majd A', 'Forghanifard MM']",
31153693,The potential role of TNFAIP3 in malignant transformation of gastric carcinoma.,"Tumor necrosis factor alpha-induced protein 3 (TNFAIP3), a deubiquitinating enzyme, plays an essential regulatory role in inflammation, immune responses and tumorigenesis. Our present study indicates that TNFAIP3 is required for the ubiquitination degradation of epithelial-mesenchymal transition (EMT) related transcription factors Snail and ZEB1, which further altered the expression of EMT-related marker proteins and eventually contributing to the malignant phenotype and poorer prognosis of gastric carcinoma. Depletion of TNFAIP3 attenuated the capacity of proliferation, migration and invasion of gastric cancer cells in vitro. Taken together, these findings propose a pathway linking the TNFAIP3 to the EMT-mediated metastatic process in gastric cancer, which provides a viable strategy regarding the interventions and prognostic analysis of gastric carcinoma in clinical practice.",Pathol. Res. Pract.,2019,"['Du B', 'Liu M', 'Li C', 'Geng X', 'Zhang X', 'Ning D', 'Liu M']",
31152734,HCRP1 inhibits cell proliferation and invasion and promotes chemosensitivity in esophageal squamous cell carcinoma.,"Hepatocellular carcinoma related protein 1 (HCRP1), which is essential for internalization and degradation of ubiquitinated membrane receptors, was reported to play crucial roles in cancer pathogenesis and progression. However, the functional roles of HCRP1 in esophageal squamous cell carcinoma (ESCC) remain unknown. In this study, we investigated the effects of HCRP1 on ESCC cells and the underlying mechanism. Our results demonstrated that HCRP1 was lowly expressed in ESCC tissues and cell lines. Overexpression of HCRP1 significantly suppressed ESCC cell proliferation and invasion as well as the epithelial-mesenchymal transition (EMT) process. Furthermore, HCRP1 increased the sensitivity of ESCC cells towards cisplatin/fluorouracil. Mechanistically, HCRP1 inhibited the activity of Wnt/β-catenin signaling pathway in ESCC cells. In conclusion, these findings indicated that HCRP1 suppressed ESCC cell proliferation and invasion through regulation of the Wnt/β-catenin pathway. Therefore, HCRP1 may function as a tumor suppressor in ESCC progression.",Chem. Biol. Interact.,2019,"['Wu Y', 'Yang Y', 'Xian YS']",
31150646,The expression level changes of microRNAs 200a/205 in the development of invasive properties in gastric cancer cells through epithelial-mesenchymal transition.,"EMT (Epithelial-Mesenchymal Transition) is a highly regulated process that results in cancer progression. MicroRNA plays a significant role in the regulation of EMT through tight control of the transcription factors. In this study, we focus on miR-200a/205 as a factor involved in the control of the EMT process in gastric cancer cells. In this sense, gastric adenocarcinoma cell lines were used to induce EMT process. For characterization of EMT process, the mRNA levels of E-cadherin, Vimentin, β-catenin, ZEB1 and Snail were measured by real time PCR. In addition, Western blot approach was adopted to determine the protein levels of these EMT markers. Transwell assay revealed migration and invasion property of gastric cancer cell after EMT induction. To analyze alteration amount of microRNAs, RT-PCR was applied. Our results confirmed the establishment of in vitro EMT model. In vitro study showed a significant negative correlation between the expression of miR-200a (P = 0.001) and expression level of EMT markers. Nevertheless, miR-205 did not show any significant results in correlation with EMT in AGS cell line. All in vitro results also were validated in gastric cancer tissue samples. Based on our findings from gastric cancer sample patients and in vitro results, miR-200a is down regulated. Therefore, in further investigation, miR-200a could be used as a candidate to prevent the invasive properties of gastric cancer through the EMT process.",Eur. J. Pharmacol.,2019,"['Mirzaei S', 'Baghaei K', 'Parivar K', 'Hashemi M', 'Asadzadeh Aghdaei H']",
31148343,Extracellular ATP promotes breast cancer invasion and epithelial-mesenchymal transition via hypoxia-inducible factor 2α signaling.,"Extracellular ATP has been shown to play an important role in invasion and the epithelial-mesenchymal transition (EMT) process in breast cancer; however, the mechanism is unclear. Here, by using a cDNA microarray, we demonstrated that extracellular ATP could stimulate hypoxia-inducible factor (HIF) signaling and upregulate hypoxia-inducible factor 1/2α (HIF-1/2α) expression. After knocking down HIF-1/2α using siRNA, we found that ATP-driven invasion and EMT were significantly attenuated via HIF2A-siRNA in breast cancer cells. By using ChIP assays, we revealed that the biological function of extracellular ATP in invasion and EMT process depended on HIF-2α direct targets, among which lysyl oxidase-like 2 (LOXL2) and matrix metalloproteinase-9 (MMP-9) mediated ATP-driven invasion, and E-cadherin and Snail mediated ATP-driven EMT, respectively. In addition, using silver staining and mass spectrometry, we found that phosphoglycerate kinase 1 (PGK1) could interact with HIF-2α and mediate ATP-driven HIF-2α upregulation. Furthermore, we demonstrated that expressions of HIF-2α and its target proteins could be regulated via ATP by AKT-PGK1 pathway. Using a Balb/c mice model, we illustrated the function of HIF-2α in promoting tumor growth and metastasis in vivo. Moreover, by exploring online databases, we found that molecules involved in ATP-HIF-2α signaling were highly expressed in human breast carcinoma tissues and were associated with poor prognosis. Altogether, these findings suggest that extracellular ATP could promote breast carcinoma invasion and EMT via HIF-2α signaling, which may be a potential target for future anti-metastasis therapy.",Cancer Sci.,2019,"['Yang H', 'Geng YH', 'Wang P', 'Zhou YT', 'Yang H', 'Huo YF', 'Zhang HQ', 'Li Y', 'He HY', 'Tian XX', 'Fang WG']",
31145716,RNA-Binding Motif 4 (RBM4) Suppresses Tumor Growth and Metastasis in Human Gastric Cancer.,"BACKGROUND Dysregulation of the splicing activator, RNA-binding motif 4 (RBM4), has recently been reported to be involved in the progression of several cancers. However, the mechanisms that underpin the activity of RBM4 in gastric cancer (GC) remain unknown. The purpose of our study was to explore how RBM4 affects the biological behavior of GC through in vivo and in vitro experiments. MATERIAL AND METHODS Western blot and flow cytometry analyses were used to investigate the RBM4 protein levels in normal gastric epithelial cells and 5 types of GC cells. Cell Counting Kit-8 assay, flow cytometry analysis, wound-healing, and migration and invasion assays were evaluated in vitro in BGC823 and MGC803 GC cells. A xenograft tumor model was used to assess whether RBM4 inhibits GC growth in vivo. Mitogen-activated protein kinase (MAPK) protein levels were determined using western blot analyses. RESULTS Our study revealed that RBM4 protein was downregulated in GC cells. Re-expression of RBM4 inhibited the proliferation, migration, and invasion of GC cells, while promoting apoptosis. Thus, the overexpression of RBM4 can inhibit tumor growth in GC mouse models. We also report that RBM4 was involved in the activation of MAPK-dependent signaling pathways in human GC. CONCLUSIONS It is hoped that these findings will improve our understanding of GC pathogenesis while also helping us to explore the feasibility of RBM4-targeted therapy for GC treatment.",Med. Sci. Monit.,2019,"['Yong H', 'Zhao W', 'Zhou X', 'Liu Z', 'Tang Q', 'Shi H', 'Cheng R', 'Zhang X', 'Qiu Z', 'Zhu J', 'Feng Z']",
31141946,Gastric Cancer Extracellular Vesicles Tune the Migration and Invasion of Epithelial and Mesenchymal Cells in a Histotype-Dependent Manner.,"Extracellular vesicles (EVs) secreted by tumor cells modulate recipient cells' behavior, but their effects in normal cells from the tumor microenvironment remain poorly known. In this study, we dissected the functional impact of gastric cancer cell-derived EVs (GC-EVs), representative of distinct GC histotypes, on the behavior of normal isogenic epithelial and mesenchymal cells. GC-EVs were isolated by differential centrifugation and characterized by transmission electron microscopy, nanoparticle tracking analysis, and imaging flow-cytometry. Epithelial and mesenchymal cells were challenged with GC-EVs and submitted to proliferation, migration, and invasion assays. Expression of epithelial and mesenchymal markers was followed by immunofluorescence and flow-cytometry. Our results indicated that GC-EVs secreted by diffuse-type cancer cells decrease the migration of recipient cells. This effect was more prominent and persistent for mesenchymal recipient cells, which also increased Fibronectin expression in response to EVs. GC-EVs secreted by cancer cells derived from tumors with an intestinal component increased invasion of recipient epithelial cells, without changes in EMT markers. In summary, this study demonstrated that GC-EVs modulate the migration and invasion of epithelial and mesenchymal cells from the tumor microenvironment, in a histotype-dependent manner, highlighting new features of intestinal and diffuse-type GC cells, which may help explaining differential metastasis patterns and aggressiveness of GC histotypes.",Int J Mol Sci,2019,"['Rocha S', 'Teles SP', 'Azevedo M', 'Oliveira P', 'Carvalho J', 'Oliveira C']",
31141251,Exosomes containing ErbB2/CRK induce vascular growth in premetastatic niches and promote metastasis of bladder cancer.,"Locally advanced and metastatic invasive bladder cancer (BC) has a poor prognosis, and no advanced therapies beyond cisplatin-based combination chemotherapy have been developed. Therefore, it is an urgent issue to elucidate the underlying mechanisms of tumor progression and metastasis of invasive BC for the development of new therapeutic strategies. Here, we clarified a novel role of exosomes containing ErbB2 and CRK in a formation of premetastatic niches and subsequent metastases. CRK adaptors were overexpressed in invasive UM-UC-3 BC cells. In an orthotopic xenograft model, metastases to lung, liver, and bone of UM-UC-3 cells were completely abolished by CRK elimination. Mass spectrometry analysis identified that ErbB2 was contained in UM-UC-3-derived exosomes in a CRK-dependent manner; the exosomes significantly increased proliferation and invasion properties of low-grade 5637 BC cells and HUVECs through FAK and PI3K/AKT signaling pathways. In athymic mice educated with UM-UC-3-derived exosomes, i.v. implanted UM-UC-3 cells were trapped with surrounding PKH67-labeled exosomes in lung and led to development of lung metastasis with disordered vascular proliferation. In contrast, exosomes derived from CRK-depleted BC cells failed to induce these malignant features. Taken together, we showed that CRK adaptors elevated the expression of ErbB2/3 in BC cells, and these tyrosine kinase/adaptor units were transferred from host BC cells to metastatic recipient cells by exosomes, leading to vascular leakiness and proliferation and contributing to the formation of distant metastasis. Thus, CRK intervention with ErbB2/3 blockade might be a potent therapeutic strategy for patients with ErbB2 overexpressing advanced and metastatic BC.",Cancer Sci.,2019,"['Yoshida K', 'Tsuda M', 'Matsumoto R', 'Semba S', 'Wang L', 'Sugino H', 'Tanino M', 'Kondo T', 'Tanabe K', 'Tanaka S']",
31140103,"LIN28A-stabilized FBXL19-AS1 promotes breast cancer migration, invasion and EMT by regulating WDR66.","Breast cancer ranks as the top reason for the oncologic mortality for female around the world. The occurrence rate of breast cancer is rapidly rising, especially in China. Although the therapeutic regimes for breast cancer are diverse, the treatment outcome in patients remains dismal. Long non-coding RNAs have been greatly reported as important participators in cancer progression during the past decades. FBXL19 antisense RNA 1 (FBXL19-AS1) has been identified as a novel oncogene in colorectal cancer recently, but its role in breast cancer remains unknown. Present study attempted to explore the functional role and mechanism of FBXL19-AS1 in breast cancer progression. Expression of FBXL19-AS1, lin-28 homolog A (LIN28A), and WD repeat domain 66 (WDR66) were detected by qPCR and Western blotting. Transwell assay was used to detect cell migration and invasion. RIP assay was used to examine interaction between LIN28A and FBXL19-AS1. First, FBXL19-AS1 was highly expressed in breast cancer cell lines. Loss-of-function assays indicated that FBXL19-AS1 promoted cell migration, invasion, and EMT in breast cancer. Mechanistically, FBXL19-AS1 interacted with and was stabilized by LIN28A, an RNA-binding protein which has been reported to be able to stabilize lncRNAs. Moreover, WDR66 expression was promoted by FBXL19-AS1 at mRNA and protein level. Finally, rescue assays suggested that FBXL19-AS1 promoted migration, invasion, and EMT through regulating WDR66 in breast cancer. Current study proved that LIN28A-stabilized FBXL19-AS1 promoted breast cancer metastasis by regulating WDR66, identifying FBXL19-AS1 as a new biological marker in breast cancer.",In Vitro Cell. Dev. Biol. Anim.,2019,"['Zhang Y', 'Xiao X', 'Zhou W', 'Hu J', 'Zhou D']",
31138318,The TGFβ-miR-499a-SHKBP1 pathway induces resistance to EGFR inhibitors in osteosarcoma cancer stem cell-like cells.,"BACKGROUND/AIMS: A novel paradigm in tumor biology suggests that osteosarcoma (OS) chemo-resistance is driven by osteosarcoma stem cell-like cells (OSCs). As the sensitivity of only a few tumors to epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors (TKIs) can be explained by the presence of EGFR tyrosine kinase (TK) domain mutations, there is a need to elucidate mechanisms of resistance to EGFR-targeted therapies in OS that do not harbor TK sensitizing mutations to develop new strategies to circumvent resistance to EGFR inhibitors.
METHODS: As a measure of the characters of OSCs, serum-free cultivation, cell viability test with erlotinib, and serial transplantation in vivo was used. Western blot assays were used to detect the association between erlotinib resistance and transforming growth factor beta (TGFβ)-induced epithelial-to-mesenchymal transition (EMT) progression. By using TaqMan qPCR miRNA array, online prediction software, luciferase reporter assays and western blot analysis, we further elucidated the mechanisms.
RESULTS: Here, CD166
CONCLUSION: TGFβ-miR-499a-SHKBP1 network orchestrates the EMT-associated kinase switch that induces resistance to EGFR inhibitors in CD166",J. Exp. Clin. Cancer Res.,2019,"['Wang T', 'Wang D', 'Zhang L', 'Yang P', 'Wang J', 'Liu Q', 'Yan F', 'Lin F']",
31137656,Actinomycin V Inhibits Migration and Invasion via Suppressing Snail/Slug-Mediated Epithelial-Mesenchymal Transition Progression in Human Breast Cancer MDA-MB-231 Cells In Vitro.,"Actinomycin V, an analog of actinomycin D produced by the marine-derived actinomycete ",Mar Drugs,2019,"['Lin S', 'Zhang C', 'Liu F', 'Ma J', 'Jia F', 'Han Z', 'Xie W', 'Li X']",
31136988,miR-21 regulates growth and EMT in lung cancer cells via PTEN/Akt/GSK3β signaling.,"miRNA-21 (miR-21) is overexpressed in various human cancers. Here, we show that miR-21 is overexpressed in human Non-Small Cell Lung Cancer (NSCLC)  and that its up or down-regulation, respectively, increases or decreases cyclin D1 and cyclin E1 expression and coordinately promotes or inhibits proliferation of cancer cells. The perturbations of miR-21 also dramatically reduces or increases epithelial to mesenschymal transition (EMT). We show that regulation of proliferation and EMT are directed by PTEN/Akt/GSK3 beta signaling axis by regulating the expression of invasion markers including E-cadherin, vimentin, snail, slug and beta-catenin. Together, these findings show that miR-21 is a potential target for the development of treatment for NSCLC forms of human lung cancer.",Front Biosci (Landmark Ed),2019,"['Dai L', 'Chen F', 'Zheng Y', 'Zhang D', 'Qian B', 'Ji H', 'Long F', 'Cretoiu D']",
31135177,miR-15a-3p Suppresses Prostate Cancer Cell Proliferation and Invasion by Targeting SLC39A7 Via Downregulating Wnt/β-Catenin Signaling Pathway.,,Cancer Biother. Radiopharm.,2019,"['Cui Y', 'Yang Y', 'Ren L', 'Yang J', 'Wang B', 'Xing T', 'Chen H', 'Chen M']",
31134496,Heterogeneity and Plasticity of Breast Cancer Stem Cells.,"In the last 20 years, the conventional view of breast cancer as a homogeneous collection of highly proliferating malignant cells was totally replaced by a model of increased complexity, which points out that breast carcinomas are tissues composed of multiple populations of transformed cells. A large diversity of host cells and structural components of the extracellular matrix constitute the mammary tumour microenvironment, which supports its growth and progression, where individual cancer cells evolve with cumulative phenotypic and genetic heterogeneity. Moreover, contributing to this heterogeneity, it has been demonstrated that breast cancers can exhibit a hierarchical organization composed of tumour cells displaying divergent lineage biomarkers and where, at the apex of this hierarchy, some neoplastic cells are able to self-renew and to aberrantly differentiate. Breast cancer stem cells (BCSCs), as they were entitled, not only drive tumourigenesis, but also mediate metastasis and contribute to therapy resistance.Recently, adding more complexity to the system, it has been demonstrated that BCSCs maintain high levels of plasticity, being able to change between mesenchymal-like and epithelial-like states in a process regulated by the tumour microenvironment. These stem cell state transitions play a fundamental role in the process of tumour metastasis, as well as in the resistance to putative therapeutic strategies to target these cells. In this chapter, it will be mainly discussed the emerging knowledge regarding the contribution of BCSCs to tumour heterogeneity, their plasticity, and the role that this plasticity can play in the establishment of distant metastasis. A major focus will also be given to potential clinical implications of these discoveries in breast cancer recurrence and to possible BCSC targeted therapeutics by the use of specific biomarkers.",Adv. Exp. Med. Biol.,2019,"['Sousa B', 'Ribeiro AS', 'Paredes J']",
31133044,Inhibition of ERK1/2 in cancer-associated pancreatic stellate cells suppresses cancer-stromal interaction and metastasis.,"BACKGROUND: Extracellular signal-regulated kinases (ERKs) have been related to multiple cancers, including breast cancer, hepatocellular cancer, lung cancer and colorectal cancer. ERK1/2 inhibitor can suppress growth of KRAS-mutant pancreatic tumors by targeting cancer cell. However, no studies have shown the expression of ERK1/2 on pancreatic stromal and its effect on pancreatic cancer-stromal interaction.
METHODS: Immunohistochemistry and western blotting were performed to detect the expression of p-ERK1/2 in pancreatic tissues and cells. Cell viability assay was used to study IC50 of ERK inhibitor on pancreatic cancer cells (PCCs) and primary cancer-associated pancreatic stellate cells (PSCs). Transwell migration, invasion, cell viability assay, senescence β-galactosidase staining were performed to determine the effect of ERK inhibitor on PCCs and PSCs in vitro and in vivo. The expression of key factors involved in autophagy and epithelial-to-mesenchymal transition (EMT) process were evaluated by western blotting. The expression of key factors related to cell invasiveness and malignancy were confirmed by qRT-PCR. Co-transplantation of PCC Organoid and PSC using a splenic xenograft mouse model was used to evaluated combined treatment of ERK inhibitor and autophagy inhibitor.
RESULTS: Immunohistochemical staining in pancreatic tumor samples and transgenetic mice detected p-ERK1/2 expression in both cancer cells and stromal cells. In pancreatic tissues, p-ERK1/2 was strongly expressed in cancer-associated PSCs compared with cancer cells and normal PSCs. PSCs were also significantly more sensitive to ERK1/2 inhibitor treatment. Inhibition of ERK1/2 suppressed EMT transition in HMPCCs, upregulated cellular senescence markers, activated autophagy in cancer-associated PSCs; and suppressed cancer-stromal interaction, which enhanced invasiveness and viability of cancer cells. We also found that chloroquine, an autophagy inhibitor, suppressed ERK inhibition-induced autophagy and promoted PSC cellular senescence, leading to significantly decreased cell proliferation. The combination of an ERK inhibitor and autophagy inhibitor suppressed liver metastasis in a splenic pancreatic cancer organoid xenograft mouse model.
CONCLUSIONS: These data indicate that inhibition of ERK1/2 in cancer-associated pancreatic stellate cells suppresses cancer-stromal interaction and metastasis.",J. Exp. Clin. Cancer Res.,2019,"['Yan Z', 'Ohuchida K', 'Fei S', 'Zheng B', 'Guan W', 'Feng H', 'Kibe S', 'Ando Y', 'Koikawa K', 'Abe T', 'Iwamoto C', 'Shindo K', 'Moriyama T', 'Nakata K', 'Miyasaka Y', 'Ohtsuka T', 'Mizumoto K', 'Hashizume M', 'Nakamura M']",
31132353,LncRNA SNHG7 contributes to tumorigenesis and progression in breast cancer by interacting with miR-34a through EMT initiation and the Notch-1 pathway.,"The long non-coding RNA (lncRNA) small nucleolar RNA host gene 7 (SNHG7) has been reported to be upregulated and contribute to carcinogenesis, progression and poor prognosis of many cancers. However, expression and function of SNHG7 in breast cancer remain unclear. Herein, we found that SNHG7 was significantly up-regulated in breast cancer tissues and cell lines. SNHG7 knockdown significantly inhibited MCF-7 cell proliferation and invasion, while SNHG7 overexpression dramatically promoted T47D cell proliferation and invasion. Xenograft experiments in vivo showed that SNHG7 knockdown significantly inhibited tumor growth in mice. In terms of mechanism, miR-34a was confirmed to be the target of SNHG7, and SNHG7 could sponge miR-34a to inhibit the expression of miR-34a. In vivo and in vitro experiments both showed that SNHG7 targeted miR-34a and promoted epithelial-to-mesenchymal transition (EMT) initiation and the Notch-1 pathway in breast cancer. In conclusion, SNHG7 promoted breast cancer tumorigenesis and progression by sponging miR-34a through EMT initiation and the Notch-1 pathway. These findings contribute to a better understanding of breast cancer pathogenesis and further provide the theoretical fundamental basis for treatment.",Eur. J. Pharmacol.,2019,"['Sun X', 'Huang T', 'Liu Z', 'Sun M', 'Luo S']",
